Key,Chapter,JP_School,EN_School,KO_School,TC_School,JP_Class,EN_Class,KO_Class,TC_Class,JP_Name,EN_Name,KO_Name,TC_Name,JP_Description,EN_Description,KO_Description,TC_Description,JP_Age,EN_Age,KO_Age,TC_Age
11,4,天道高等学校,Tendo Senior High School,텐도고등학교,天道高等學校,Ⅱ-A,Class Ⅱ-A,Ⅱ-A,Ⅱ-A,久間田 勇也,Yuuya Kumada,쿠마다 유야,久間田 勇也,はぐれた友人を捜しまわる内に餓死。,Starved to death while searching for friend.,친구를 찾아다니던 중 아사.,在尋找失散朋友的過程中餓死。,"享年１７歳
",Age : 17,"향년 17세
",享年17歲
12,5,天道高等学校,Tendo Senior High School,텐도고등학교,天道高等學校,Ⅱ-C,Class Ⅱ-C,Ⅱ-C,Ⅱ-C,碑文谷 恭介,Kyosuke Himonya,히몬야 쿄스케,碑文谷 恭介,トラップにかかり腕を断裂、失血死。,Caught in trap and ripped arm from body; bled out.,트랩에 걸려 팔이 절단、실혈사.,中陷阱導致手臂斷裂，失血死亡。,"享年１７歳
",Age : 17,"향년 17세
",享年17歲
13,5,天道高等学校,Tendo Senior High School,텐도고등학교,天道高等學校,Ⅲ-B,Class Ⅲ-B,Ⅲ-B,Ⅲ-B,秀樹 タチバナ,Hideki Tachibana,히데키 타치바나,秀樹 タチバナ,何者かに首を絞められ殺害される。,Strangled to death by unknown assailant.,누군가에게 목을 졸려 사망.,遭不明人士絞殺。,"享年１８歳
",Age : 18,"향년 18세
",享年18歲
14,5,天道高等学校,Tendo Senior High School,텐도고등학교,天道高等學校,Ⅲ-B,Class Ⅲ-B,Ⅲ-B,Ⅲ-B,長谷川 カオリ,Kaori Hasegawa,하세가와 카오리,長谷川 カオリ,鈍器で体中の骨を砕かれショック死,Blunt force trauma and multiple fractures; died from pain.,둔기로 맞아 온몸의 뼈가 부서져 쇼크사.,遭鈍器擊碎全身骨骼導致休克死亡。,"享年１８歳
",Age : 18,"향년 18세
",享年18歲
15,5,天道高等学校,Tendo Senior High School,텐도고등학교,天道高等學校,Ⅱ-A,Class Ⅱ-A,Ⅱ-A,Ⅱ-A,長谷川 シホ,Shiho Hasegawa,하세가와 시호,長谷川 シホ,足の腱を鋏で切られ、歩けないまま失血死。,"Immobilized when tendons in leg were snipped;
bled out.",가위로 발의 힘줄을 잘려 움직이지 못한 채 실혈사.,腳筋被剪刀剪斷，無法行動而失血死亡。,"享年１６歳
",Age : 16,"항년 16세
",享年16歲
16,5,尼咲市立西高等学校,Amazaki West Senior Private School,아마자키시립서고등학교,尼咲市立西高等學校,2年4組,Class 2-4,2학년 4반,2年4班,瀬戸 エリヤ,Eriya Seto,세토 에리야,瀬戸 エリヤ,階段から落下して頚椎損傷。,Fell down stairs; died from spinal injuries.,계단에서 떨어져 경추 손상.,從樓梯跌落導致頸椎損傷而死亡。,"享年１７歳
",Age : 17,"향년 17세
",享年17歲
17,4,尼咲市立西高等学校,Amazaki West Senior Private School,아마자키시립서고등학교,尼咲市立西高等學校,2年4組,Class 2-4,2학년 4반,2年4班,松原 智,Satoshi Matsubara,마츠바라 사토시,松原 智,汚水を飲み、ショック死。,Drank contaminated water; died vomiting.,오수를 마셔 쇼크사.,飲用污水後休克死亡。,"享年１６歳
",Age : 16,"항년 16세
",享年16歲
18,4,尼咲市立西高等学校,Amazaki West Senior Private School,아마자키시립서고등학교,尼咲市立西高等學校,2年4組,Class 2-4,2학년 4반,2年4班,小島 英将,Hidemasa Kojima,코지마 히데마사,小島 英将,自分の血を飲もうとして失血死。,Attempted to drink own blood; bled to death.,자기 피를 마시려다 실혈사.,試圖喝自己的血導致失血死亡。,"享年１７歳
",Age : 17,"향년 17세
",享年17歲
19,3,尼咲市立西高等学校,Amazaki West Senior Private School,아마자키시립서고등학교,尼咲市立西高等學校,2年4組,Class 2-4,2학년 4반,2年4班,本村 隆幸,Takayuki Motomura,모토무라 타카유키,本村 隆幸,妹の亡骸を発見、ショックを受け後を追う。,Suicide upon discovering little sister's lifeless remains.,여동생의 유해를 발견하고 충격을 받아 그 뒤를 따른다.,發現妹妹的遺體後受到衝擊而隨之而去。,"享年１７歳
",Age : 17,"향년 17세
",享年17歲
20,3,尼咲市立西高等学校,Amazaki West Senior Private School,아마자키시립서고등학교,尼咲市立西高等學校,2年4組,Class 2-4,2학년 4반,2年4班,本村 寛子,Hiroko Motomura,모토무라 히로코,本村 寛子,脱水症状で衰弱死。,Withered away from dehydration.,탈수 증세로 쇠약사.,因脫水症狀導致衰竭死亡。,"享年１６歳
",Age : 16,"항년 16세
",享年16歲
22,4,レクサーヌ高等学校,Lexern Senior High School,렉산고등학교,雷克薩努高等學校,3年2組,Class 3-2,3학년 2반,3年2班,神崎 蛍,Hotaru Kanzaki,칸자키 호타루,神崎 蛍,脱出を諦め、恋人と自害する事を選ぶ。,Gave up on escaping and committed suicide with beloved.,탈출을 포기하고 연인과 자해하는 길을 택한다.,放棄逃脫，選擇與戀人一同自盡。,"享年１７歳
",Age : 17,"향년 17세
",享年17歲
23,4,レクサーヌ高等学校,Lexern Senior High School,렉산고등학교,雷克薩努高等學校,2年4組,Class 2-4,2학년 4반,2年4班,湊川 名雪,Nayuki Minatogawa,미나토가와 나유키,湊川 名雪,脱出を諦め、恋人と自害する事を選ぶ。,Gave up on escaping and committed suicide with beloved.,탈출을 포기하고 연인과 자해하는 길을 택한다.,放棄逃脫，選擇與戀人一同自盡。,"享年１６歳
",Age : 16,"항년 16세
",享年16歲
24,4,レクサーヌ高等学校,Lexern Senior High School,렉산고등학교,雷克薩努高等學校,3年2組,Class 3-2,3학년 2반,3年2班,荒井 拓哉,Takuya Arai,아라이 타쿠야,荒井 拓哉,水練場で死亡したが気づいていない。,Died in pool、 but is unaware of own demise.,수영장에서 사망했지만 인지하지 못한다.,在游泳池中死亡但本人並未察覺。,"享年１８歳
",Age : 18,"향년 18세
",享年18歲
25,2,レクサーヌ高等学校,Lexern Senior High School,렉산고등학교,雷克薩努高等學校,3年2組,Class 3-2,3학년 2반,3年2班,工藤 映美,Emi Kudou,쿠도 에미,工藤 映美,友人に食料として体を差し出し死亡。,Willingly offered own flesh as food to sustain friend.,친구에게 자신의 몸을 먹으라고 주고는 사망.,自願將自己的身體作為食物提供給朋友後死亡。,"享年１７歳
",Age : 17,"향년 17세
",享年17歲
26,3,レクサーヌ高等学校,Lexern Senior High School,렉산고등학교,雷克薩努高等學校,2年4組,Class 2-4,2학년 4반,2年4班,高橋 奈央,Nao Takahashi,타카하시 나오,高橋 奈央,脱水症状による衰弱死。,Withered away from dehydration.,탈수 증세로 인한 쇠약사.,因脫水症狀導致衰竭死亡。,"享年１７歳
",Age : 17,"향년 17세
",享年17歲
27,3,レクサーヌ高等学校,Lexern Senior High School,렉산고등학교,雷克薩努高等學校,2年4組,Class 2-4,2학년 4반,2年4班,木村 かおり,Kaori Kimura,키무라 카오리,木村 かおり,地震に起因する怪我による失血死。,Wounded during earthquake; bled out.,지진으로 인한 부상으로 실혈사.,因地震造成的傷害導致失血死亡。,"享年１７歳
",Age : 17,"향년 17세
",享年17歲
28,4,愛染中学校,Aizome Junior High School,아이조메중학교,愛染中學校,Ⅱ-6,Class Ⅱ-6,Ⅱ-6,Ⅱ-6,田中 ヒルネ,Hirune Tanaka,타나카 히루네,田中 ヒルネ,友達を児童霊に殺され、呪いながら入水死。,Drowned after friend was killed by child spirit.,아동 유령 탓에 친구를 잃어 저주를 퍼부으며 익사.,朋友被兒童靈殺害後，邊詛咒邊投水而死。,"享年１４歳
",Age : 14,"향년 14세
",享年14歲
29,5,愛染中学校,Aizome Junior High School,아이조메중학교,愛染中學校,Ⅱ-2,Class Ⅱ-2,Ⅱ-2,Ⅱ-2,隈崎 舞,Mai Kumasaki,쿠마사키 마이,隈崎 舞,児童霊に鋏で刺され眠るように逝く。,Stabbed by child spirit with scissors; slowly slipped away into death.,아동 유령에게 가위로 찔려 잠자듯 명을 달리한다.,被兒童靈用剪刀刺中，如沉睡般離世。,"享年１４歳
",Age : 14,"향년 14세
",享年14歲
30,5,愛染中学校,Aizome Junior High School,아이조메중학교,愛染中學校,Ⅲ-3,Class Ⅲ-3,Ⅲ-3,Ⅲ-3,篠宮 トシミ,Toshimi Shinomiya,시노미야 토시미,篠宮 トシミ,天神小に取材に来た。後世に珠玉の作品を残す。,Came to Heavenly Host for data collection. Left magnum opus for posterity. Died when cranium was split open with blunt instrument.,텐진초에 취재를 나왔다. 후세에 주옥같은 작품을 남긴다.,前來天神小學採訪。為後世留下珠玉之作。後遭鈍器擊碎頭蓋骨死亡。,"失踪時１５歳
",Age : 15,"실종 시 15세
",失蹤時15歲
31,4,愛染中学校,Aizome Junior High School,아이조메중학교,愛染中學校,Ⅰ-2,Class Ⅰ-2,Ⅰ-2,Ⅰ-2,田中 星子,Seiko Tanaka,타나카 세이코,田中 星子,別館への渡り廊下で取り憑かれ精神崩壊。,Possessed while passing to second wing; suffered mental collapse.,별관으로 이어진 복도에서 빙의를 당해 정신 붕괴.,在通往別館的走廊上被附身導致精神崩潰。,"享年１３歳
",Age : 13,"향년 13세
",享年13歲
32,5,愛染中学校,Aizome Junior High School,아이조메중학교,愛染中學校,Ⅲ-4,Class Ⅲ-4,Ⅲ-4,Ⅲ-4,田村 すのこ,Sunoko Tamura,타무라 스노코,田村 すのこ,扉に首を挟まれ頭部切断、即死。,Door closed forcefully on neck; beheaded.,목이 문에 끼어 두부 절단、즉사.,脖子被門夾住導致頭部斷裂，當場死亡。,"享年１５歳
",Age : 15,"향년 15세
",享年15歲
34,2,武蔵川女子中学校,"Musashigawa Girls' Middle
School",무사시가와여자중학교,武藏川女子中學校,Ⅰ-2,Class Ⅰ-2,Ⅰ-2,Ⅰ-2,桐上 ひかり,Hikari Kirigami,키리가미 히카리,桐上 ひかり,怪我による失血死。,Bled out from injuries.,부상으로 인한 실혈사.,因受傷導致失血死亡。,"享年１３歳
",Age : 13,"향년 13세
",享年13歲
35,5,武蔵川女子中学校,"Musashigawa Girls' Middle
School",무사시가와여자중학교,武藏川女子中學校,Ⅰ-4,Class Ⅰ-4,Ⅰ-4,Ⅰ-4,小笠原 奈那,Nana Ogasawara,오가사와라 나나,小笠原 奈那,舌を引き抜かれショック死。,Tongue removed; went into shock and died.,혀를 잡아 뽑혀 쇼크사.,舌頭被拔除導致休克死亡。,"享年１３歳
",Age : 13,"향년 13세
",享年13歲
36,5,武蔵川女子中学校,"Musashigawa Girls' Middle
School",무사시가와여자중학교,武藏川女子中學校,Ⅰ-4,Class Ⅰ-4,Ⅰ-4,Ⅰ-4,山瀬 千早,Chihaya Yamase,야마세 치하야,山瀬 千早,地下の一室で解体されバケツに詰め込まれる。,"Dissected in underground room and crammed in
bucket.",지하 단칸방에서 해체되어 양동이에 담기게 된다.,在地下室被肢解後裝入水桶中。,"享年１３歳
",Age : 13,"향년 13세
",享年13歲
37,5,武蔵川女子中学校,"Musashigawa Girls' Middle
School",무사시가와여자중학교,武藏川女子中學校,Ⅰ-6,Class Ⅰ-6,Ⅰ-6,Ⅰ-6,天戸屋 成,Nari Amatoya,아마토야 나리,天戸屋 成,名札のみ発見、生死不明。,Only a nametag was found. Exact circumstances of death unknown.,명찰만 발견、생사 불명.,只發現名牌，生死不明。,"失踪時１３歳
",Age : 13,"실종 시 13세
",失蹤時13歲
38,3,武蔵川女子中学校・高等部,Musashigawa Girls' High School,무사시가와여자중학교 고등부,武藏川女子中學校 高等部,Ⅱ-3,Class Ⅱ-3,Ⅱ-3,Ⅱ-3,成瀬 実香,Mika Naruse,나루세 미카,成瀬 実香,鈍器による打撃で頭蓋骨骨折。,Skull cracked open with blunt instrument.,둔기 타격으로 두개골 골절.,遭鈍器打擊導致頭蓋骨骨折。,"享年１７歳
",Age : 17,"향년 17세
",享年17歲
39,5,武蔵川女子中学校・高等部,Musashigawa Girls' High School,무사시가와여자중학교 고등부,武藏川女子中學校 高等部,Ⅱ-3,Class Ⅱ-3,Ⅱ-3,Ⅱ-3,風音 璃穏,Rio Kazane,카자네 리오,風音 璃穏,鈍器による打撃で頭部破裂。,Head completely smashed in with blunt instrument.,둔기 타격으로 두부 파열.,遭鈍器打擊導致頭部破裂。,"享年１７歳
",Age : 17,"향년 17세
",享年17歲
40,1,聖清女子学院,Seisei Academy for Girls,쇼세이여자학원,聖清女子學院,Ⅰ-2,Class Ⅰ-2,Ⅰ-2,Ⅰ-2,藤原 恋都,Koito Fujiwara,후지와라 코이토,藤原 恋都,鈍器による打撃で頭蓋骨骨折、死亡。,Skull cracked open with blunt instrument.,둔기 타격으로 두개골 골절、사망.,遭鈍器打擊導致頭蓋骨骨折而死亡。,"享年１５歳
",Age : 15,"향년 15세
",享年15歲
41,1,聖清女子学院,Seisei Academy for Girls,쇼세이여자학원,聖清女子學院,Ⅰ-2,Class Ⅰ-2,Ⅰ-2,Ⅰ-2,三上 ゆずは,Yuzuha Mikami,미카미 유즈하,三上 ゆずは,鈍器による打撃で胸部骨折の後死亡。,Ribcage smashed in with blunt instrument.,둔기 타격으로 흉부 골절 후 사망.,遭鈍器打擊導致胸部骨折後死亡。,"享年１６歳
",Age : 16,"항년 16세
",享年16歲
42,1,聖清女子学院,Seisei Academy for Girls,쇼세이여자학원,聖清女子學院,Ⅰ-2,Class Ⅰ-2,Ⅰ-2,Ⅰ-2,東雲 沙紗,Sasha Shinonome,시노노메 사샤,東雲 沙紗,鈍器による打撃で胸部骨折の後死亡。,Ribcage smashed in with blunt instrument.,둔기 타격으로 흉부 골절 후 사망.,遭鈍器打擊導致胸部骨折後死亡。,"享年１６歳
",Age : 16,"항년 16세
",享年16歲
43,1,聖清女子学院,Seisei Academy for Girls,쇼세이여자학원,聖清女子學院,Ⅰ-2,Class Ⅰ-2,Ⅰ-2,Ⅰ-2,加東 あすか,Asuka Kato,카토 아스카,加東 あすか,鈍器による打撃で頭蓋骨骨折、死亡。,Skull cracked open with blunt instrument.,둔기 타격으로 두개골 골절、사망.,遭鈍器打擊導致頭蓋骨骨折而死亡。,"享年１６歳
",Age : 16,"항년 16세
",享年16歲
44,3,聖清女子学院,Seisei Academy for Girls,쇼세이여자학원,聖清女子學院,Ⅱ-3,Class Ⅱ-3,Ⅱ-3,Ⅱ-3,藤原 涼子,Ryoko Fujiwara,후지와라 료코,藤原 涼子,妹の亡骸から手紙を発見、涙しながら餓死。,Found note with little sister's remains;  starved to death while mourning.,여동생의 유해에서 편지를 발견、울면서 아사.,在妹妹的遺體旁發現信件，邊流淚邊餓死。,"享年１７歳
",Age : 17,"향년 17세
",享年17歲
45,5,聖清女子学院,Seisei Academy for Girls,쇼세이여자학원,聖清女子學院,Ⅱ-3,Class Ⅱ-3,Ⅱ-3,Ⅱ-3,御園 彩菜,Ayana Misono,미소노 아야나,御園 彩菜,想い人と共に、眠るように逝く。,Died in sleep alongside beloved.,사랑하는 사람과 함께 잠자듯 명을 달리한다.,與心上人一同如沉睡般離世。,"享年１７歳
",Age : 17,"향년 17세
",享年17歲
46,1,美里市立 彦糸高等学校,Misato Municipal Brotherhood High,미사토시립 히코이토고등학교,美里市立彥糸高等學校,3年4組,Class 3-4,3학년 4반,3年4班,篠原 嘉幸,Yoshiyuki Shinohara,시노하라 요시유키,篠原 嘉幸,校舎内トラップによって失血死。,Caught in trap; bled out.,교사 내 트랩에 걸려 실혈사.,在校舍內中陷阱導致失血死亡。,"享年１８歳
",Age : 18,"향년 18세
",享年18歲
47,1,美里市立 彦糸高等学校,Misato Municipal Brotherhood High,미사토시립 히코이토고등학교,美里市立彥糸高等學校,3年6組,Class 3-6,3학년 6반,3年6班,愛知 心,Shin Aichi,아이치 신,愛知 心,教室に閉じ込められ餓死。,Trapped in classroom; starved to death.,교실에 갇혀 아사.,被關在教室中餓死。,"享年１７歳
",Age : 17,"향년 17세
",享年17歲
48,5,美里市立 彦糸高等学校,Misato Municipal Brotherhood High,미사토시립 히코이토고등학교,美里市立彥糸高等學校,2年4組,Class 2-4,2학년 4반,2年4班,紅星 黒白,Kokuhaku Akaboji,아카보시 코쿠하쿠,紅星 黒白,呪詛に蝕まれ消滅死。,Consumed by curse; faded from existence.,저주에 걸려 소멸사.,遭詛咒侵蝕而消滅死亡。,"享年１６歳
",Age : 16,"항년 16세
",享年16歲
49,4,美里市立 彦糸高等学校,Misato Municipal Brotherhood High,미사토시립 히코이토고등학교,美里市立彥糸高等學校,2年4組,Class 2-4,2학년 4반,2年4班,三崎 由真,Yuma Misaki,미사키 유마,三崎 由真,背後より凶器で首を刺され死亡。,Neck slit from behind.,배후로부터 흉기로 목을 찔려 사망.,從背後遭凶器刺中脖子而死亡。,"享年１７歳
",Age : 17,"향년 17세
",享年17歲
50,3,美里市立 彦糸高等学校,Misato Municipal Brotherhood High,미사토시립 히코이토고등학교,美里市立彥糸高等學校,2年4組,Class 2-4,2학년 4반,2年4班,神楽坂 秋彦,Akihiko Kagurazaka,카구라자카 아키히코,神楽坂 秋彦,腹部損傷による失血死。,Suffered severe injury to abdomen; bled out.,복부 손상으로 실혈사.,因腹部損傷導致失血死亡。,"享年１７歳
",Age : 17,"향년 17세
",享年17歲
51,4,美里市立 彦糸高等学校,Misato Municipal Brotherhood High,미사토시립 히코이토고등학교,美里市立彥糸高等學校,2年4組,Class 2-4,2학년 4반,2年4班,水姫 ともえ,Tomoe Mizuki,미즈키 토모에,水姫 ともえ,天神小の外の樹海に迷い込み行方不明。,Last seen entering woods outside school building; whereabouts unknown.,텐진초 밖 수해에 말려들어 행방불명.,在天神小學外的樹海中迷路而失蹤。,"生死不明
",Death unconfirmed.,"생사 불명
",生死不明
52,3,美里市立 彦糸高等学校,Misato Municipal Brotherhood High,미사토시립 히코이토고등학교,美里市立彥糸高等學校,2年4組,Class 2-4,2학년 4반,2年4班,須藤 八斗,Hatto Sudo,스도우 핫토,須藤 八斗,友人を庇い、頭蓋骨を割られ死亡。,Took blow to head for friend; skull split open.,친구를 감싸다 두개골이 깨져 사망.,為了保護朋友而頭蓋骨被擊碎死亡。,"享年１７歳
",Age : 17,"향년 17세
",享年17歲
53,3,美里市立 彦糸高等学校,Misato Municipal Brotherhood High,미사토시립 히코이토고등학교,美里市立彥糸高等學校,2年4組,Class 2-4,2학년 4반,2年4班,大瀧 光春,Mitsuharu Ohtaki,오오타키 미츠하루,大瀧 光春,黒化して死亡。,Succumbed to darkening and died in anguish.,흑화로 인해 사망.,黑化後死亡。,"享年１７歳
",Age : 17,"향년 17세
",享年17歲
54,3,美里市立 彦糸高等学校,Misato Municipal Brotherhood High,미사토시립 히코이토고등학교,美里市立彥糸高等學校,2年4組,Class 2-4,2학년 4반,2年4班,萩原 海音,Kain Hagiwara,하기와라 카인,萩原 海音,鋏でアキレス腱を切断され失血死。,Achilles tendon severed with scissors; bled out.,가위로 아킬레스건을 잘려 실혈사.,腳跟腱被剪刀切斷導致失血死亡。,"享年１６歳
",Age : 16,"항년 16세
",享年16歲
55,3,白楼第三中学校,Hakuro #3 Junior High School,하쿠로우 제3중학교,白樓第三中學校,Ⅲ-5,Class Ⅲ-5,Ⅲ-5,Ⅲ-5,粕谷 真央,Mao Kashiwatani,카시와타니 마오,粕谷 真央,友人を捜して校内を彷徨ううちに餓死。,Starved to death while searching for friends.,친구를 찾아 교내를 방황하다 아사.,在尋找朋友而於校內徘徊的過程中餓死。,"享年１５歳
",Age : 15,"향년 15세
",享年15歲
56,4,白楼第三中学校,Hakuro #3 Junior High School,하쿠로우 제3중학교,白樓第三中學校,Ⅲ-5,Class Ⅲ-5,Ⅲ-5,Ⅲ-5,前花 陽介,Yohsuke Maebana,마에바나 요스케,前花 陽介,友人を捜して校内を彷徨ううちに餓死。,Starved to death while searching for friends.,친구를 찾아 교내를 방황하다 아사.,在尋找朋友而於校內徘徊的過程中餓死。,"享年１５歳
",Age : 15,"향년 15세
",享年15歲
57,3,白楼第三中学校,Hakuro #3 Junior High School,하쿠로우 제3중학교,白樓第三中學校,Ⅲ-5,Class Ⅲ-5,Ⅲ-5,Ⅲ-5,鶴田 祐紀,Yuuki Tsuruta,츠루타 유우키,鶴田 祐紀,妹を捜して校内を彷徨ううちに餓死。,Starved to death while searching for little sister.,여동생을 찾아 교내를 방황하다 아사.,在尋找妹妹而於校內徘徊的過程中餓死。,"享年１５歳
",Age : 15,"향년 15세
",享年15歲
58,5,白楼第三中学校,Hakuro #3 Junior High School,하쿠로우 제3중학교,白樓第三中學校,Ⅱ-2,Class Ⅱ-2,Ⅱ-2,Ⅱ-2,禍奈木 水桜,Mio Kanaki,카나키 미오,禍奈木 水桜,先に監禁された兄を捜すも、力尽き餓死。,"Starved to death after desperate search for
big brother.",먼저 감금된 오빠를 찾아다니다 진이 빠져 사망.,四處尋找被監禁的哥哥，最終體力耗盡而餓死。,"享年１４歳
",Age : 14,"향년 14세
",享年14歲
59,4,白楼第三中学校,Hakuro #3 Junior High School,하쿠로우 제3중학교,白樓第三中學校,Ⅲ-5,Class Ⅲ-5,Ⅲ-5,Ⅲ-5,黒山 古都ゑ,Kotowe Kuroyama,쿠로야마 코토에,黒山 古都ゑ,何者かに吊るされ衰弱死。,Hanged by unknown assailant.,누군가에게 몸을 매달려 쇠약사.,遭不明人士懸吊導致衰竭死亡。,"享年１５歳
",Age : 15,"향년 15세
",享年15歲
60,4,白楼第三中学校,Hakuro #3 Junior High School,하쿠로우 제3중학교,白樓第三中學校,Ⅰ-4,Class Ⅰ-4,Ⅰ-4,Ⅰ-4,鶴田 津加早,Tsukasa Tsuruta,츠루타 츠카사,鶴田 津加早,兄を捜して水練場で力尽きる。,Collapsed into pool while searching for big brother.,오빠를 찾아다니다 수영장에서 힘이 다한다.,在尋找哥哥的過程中於游泳池體力耗盡。,"享年１３歳
",Age : 13,"향년 13세
",享年13歲
61,3,聖マリアンヌ大学付属高等部,St. Maryanne University High School,성마리안느 대학부속고등부,聖瑪麗安娜大學附屬高等部,2年1組,Class 2-1,2학년 1반,2年1班,杉井 恵,Megumi Sugii,스기이 메구미,杉井 恵,友達を捜すも力尽きて餓死。,"Starved to death after desperate search for
friend.",친구를 찾아다니다 진이 빠져 사망.,四處尋找朋友，最終體力耗盡而餓死。,"享年１７歳
",Age : 17,"향년 17세
",享年17歲
62,5,聖マリアンヌ大学付属高等部,St. Maryanne University High School,성마리안느 대학부속고등부,聖瑪麗安娜大學附屬高等部,2年1組,Class 2-1,2학년 1반,2年1班,西宮 ゆうき,Yuuki Nishimiya,니시미야 유우키,西宮 ゆうき,男児の霊に生き埋めにされて窒息死。,Buried alive by spirit of little boy; suffocated.,남자아이 유령에게 생매장 당해 질식사.,被男孩的靈體活埋導致窒息死亡。,"享年１７歳
",Age : 17,"향년 17세
",享年17歲
63,5,聖マリアンヌ大学付属高等部,St. Maryanne University High School,성마리안느 대학부속고등부,聖瑪麗安娜大學附屬高等部,2年1組,Class 2-1,2학년 1반,2年1班,桜陰 日向,Hinata Ouin,오우인 히나타,桜陰 日向,想い人と共に、眠るように逝く。,Died in sleep alongside beloved.,사랑하는 사람과 함께 잠자듯 명을 달리한다.,與心上人一同如沉睡般離世。,"享年１７歳
",Age : 17,"향년 17세
",享年17歲
