DataRow,Key,Context1,Context2,Slot,JP,EN,KO,TC,Notes,Status
28,27,119,1,0,Extra 14が開放されました。,Extra 14 has been unlocked.,엑스트라 챕터 14가 열렸습니다.,Extra 14 已解鎖。,,Translated
29,28,120,1,0,Extra 15が開放されました。,Extra 15 has been unlocked.,엑스트라 챕터 15가 열렸습니다.,Extra 15 已解鎖。,,Translated
30,29,121,1,0,Extra 16が開放されました。,Extra 16 has been unlocked.,엑스트라 챕터 16이 열렸습니다.,Extra 16 已解鎖。,,Translated
31,30,122,1,0,Extra 17が開放されました。,Extra 17 has been unlocked.,엑스트라 챕터 17이 열렸습니다.,Extra 17 已解鎖。,,Translated
32,31,123,1,0,Extra 18が開放されました。,Extra 18 has been unlocked.,엑스트라 챕터 18이 열렸습니다.,Extra 18 已解鎖。,,Translated
33,32,124,1,0,Extra 19が開放されました。,Extra 19 has been unlocked.,엑스트라 챕터 19가 열렸습니다.,Extra 19 已解鎖。,,Translated
34,33,100,1,0,開放されていません。,Not unlocked yet.,잠겨져 있는 챕터입니다.,尚未解鎖。,,Translated
35,14,201,1,0,Extra Chapter 1 Clear,Extra Chapter 1 Clear,엑스트라 챕터 1 클리어,Extra Chapter 1 已通關,,Translated
36,15,204,1,0,Extra Chapter 2 Clear,Extra Chapter 2 Clear,엑스트라 챕터 2 클리어,Extra Chapter 2 已通關,,Translated
37,16,205,1,0,Extra Chapter 3 Clear,Extra Chapter 3 Clear,엑스트라 챕터 3 클리어,Extra Chapter 3 已通關,,Translated
38,17,206,1,0,Extra Chapter 4 Clear,Extra Chapter 4 Clear,엑스트라 챕터 4 클리어,Extra Chapter 4 已通關,,Translated
39,18,207,1,0,Extra Chapter 5 Clear,Extra Chapter 5 Clear,엑스트라 챕터 5 클리어,Extra Chapter 5 已通關,,Translated
40,19,208,1,0,Extra Chapter 6 Clear,Extra Chapter 6 Clear,엑스트라 챕터 6 클리어,Extra Chapter 6 已通關,,Translated
41,20,209,1,0,Extra Chapter 7 Clear,Extra Chapter 7 Clear,엑스트라 챕터 7 클리어,Extra Chapter 7 已通關,,Translated
42,21,210,1,0,Extra Chapter 8 Clear,Extra Chapter 8 Clear,엑스트라 챕터 8 클리어,Extra Chapter 8 已通關,,Translated
43,22,211,1,0,Extra Chapter 9 Clear,Extra Chapter 9 Clear,엑스트라 챕터 9 클리어,Extra Chapter 9 已通關,,Translated
44,23,212,1,0,Extra Chapter 10 Clear,Extra Chapter 10 Clear,엑스트라 챕터 10 클리어,Extra Chapter 10 已通關,,Translated
45,24,213,1,0,Extra Chapter 11 Clear,Extra Chapter 11 Clear,엑스트라 챕터 11 클리어,Extra Chapter 11 已通關,,Translated
46,25,214,1,0,Extra Chapter 12 Clear,Extra Chapter 12 Clear,엑스트라 챕터 12 클리어,Extra Chapter 12 已通關,,Translated
47,26,219,1,0,Extra Chapter 13 Clear,Extra Chapter 13 Clear,엑스트라 챕터 13 클리어,Extra Chapter 13 已通關,,Translated
48,27,221,1,0,Extra Chapter 14 Clear,Extra Chapter 14 Clear,엑스트라 챕터 14 클리어,Extra Chapter 14 已通關,,Translated
49,28,222,1,0,Extra Chapter 15 Clear,Extra Chapter 15 Clear,엑스트라 챕터 15 클리어,Extra Chapter 15 已通關,,Translated
50,29,225,1,0,Extra Chapter 16 Clear,Extra Chapter 16 Clear,엑스트라 챕터 16 클리어,Extra Chapter 16 已通關,,Translated
51,30,250,1,0,Extra Chapter 17 Clear,Extra Chapter 17 Clear,엑스트라 챕터 17 클리어,Extra Chapter 17 已通關,,Translated
52,31,250,1,0,Extra Chapter 18 Clear,Extra Chapter 18 Clear,엑스트라 챕터 18 클리어,Extra Chapter 18 已通關,,Translated
53,32,250,1,0,Extra Chapter 19 Clear,Extra Chapter 19 Clear,엑스트라 챕터 19 클리어,Extra Chapter 19 已通關,,Translated
54,34,1000,2,0,せんたくしでふぉはい,せんたくし,せんたくし,預設選項：是,,Translated
55,34,2000,3,0,せんたくしでふぉいいえ,せんたくし,せんたくし,預設選項：否,,Translated
