Index,Chapter,Ending,Unknown,JP_ID,JP_Title,JP_Description,EN2_ID,EN2_Title,EN2_Description,KO_ID,KO_Title,KO_Description,TC_ID,TC_Title,TC_Description,Translator_Notes,Status
31,6,2,0,ED No.3,エクストラ１,バッドエンド２。死ぬまで校舎をさ迷う。,ED No.3,Extra1,Wrong End 2: Wandered halls of school until death.,ED No.3,엑스트라1,배드 엔딩 2: 배드엔딩2. 죽을 때 까지 학교에서 길을 잃고 헤매게 된다.,ED No.3,額外１,壞結局２。在校舍中徘徊直到死亡。,,Translated
32,6,3,0,ED No.4,エクストラ２,クリアエンド。また会うかも知れない相手。,ED No.4,Extra2,Extra Clear: Maybe we'll meet again.,ED No.4,엑스트라2,클리어 엔딩 다시 만날지도 모르는 상대.,ED No.4,額外２,通關結局。或許還會再次相遇。,,Translated
33,6,4,0,ED No.5,エクストラ３,クリアエンド。姉は応援している。,ED No.5,Extra3,Extra Clear: A supportive sister.,ED No.5,엑스트라3,클리어 엔딩 언니는 널 지지해주고 있어.,ED No.5,額外３,通關結局。姊姊一直支持著你。,,Translated
34,6,5,0,ED No.6,エクストラ４,クリアエンド。巨乳好きの性癖。,ED No.6,Extra4,Extra Clear: Big tiddy lover.,ED No.6,엑스트라4,클리어 엔딩 큰 가슴 좋아하는...,ED No.6,額外４,通關結局。喜歡豐滿女性的癖好。,,Translated
35,6,6,0,ED No.7,エクストラ５,クリアエンド。ガールズトークのひと時。,ED No.7,Extra5,Extra Clear: A real heart-to-heart.,ED No.7,엑스트라5,클리어 엔딩 잠깐의 걸즈토크.,ED No.7,額外５,通關結局。一段女生之間的談心時光。,,Translated
36,6,7,0,ED No.8,エクストラ６,クリアエンド。気を遣われるのが嫌いな委員長。,ED No.8,Extra6,Extra Clear: The class rep hates being a burden. ,ED No.8,엑스트라6,클리어 엔딩 남에게 염려 끼치는 것이 싫은 회장.,ED No.8,額外６,通關結局。不喜歡別人為自己操心的班長。,,Translated
37,6,8,0,ED No.9,エクストラ７,クリアエンド。『逆打ち』の方法を試しに行く。,ED No.9,Extra7,Extra Clear: Gave the escape plan a shot.,ED No.9,엑스트라7,"클리어 엔딩 ""저주 해제""의 방법을 시험해 보기로.",ED No.9,額外７,通關結局。前去嘗試「逆打」的方法。,,Translated
38,6,9,0,ED No.10,エクストラ８,クリアエンド。ゴホウビヲモラウタメニ。,ED No.10,Extra8,Extra Clear: For a reward.,ED No.10,엑스트라8,클리어 엔딩 보상을 받기 위하여.,ED No.10,額外８,通關結局。為了得到獎勵。,,Translated
39,6,10,0,ED No.11,エクストラ９,クリアエンド。男同士で腕組んで帰宅。,ED No.11,Extra9,Extra Clear: Two boys return home arm in arm.,ED No.11,엑스트라9,클리어 엔딩 사내끼리 함께 귀가.,ED No.11,額外９,通關結局。兩個男生挽著手回家。,,Translated
40,6,11,0,ED No.12,エクストラ１０,クリアエンド。『香りのビーズ』のヒミツの効果。,ED No.12,Extra10,Extra Clear: The scented beads' secret power.,ED No.12,엑스트라10,"클리어 엔딩 ""향기나는 구슬""의 숨겨진 효과.",ED No.12,額外１０,通關結局。「香味珠子」的祕密效果。,,Translated
41,6,12,0,ED No.13,エクストラ１１,クリアエンド。辛い状況でも、諦めずに探し求める。,ED No.13,Extra11,"Extra Clear: Never gave up the search, no matter how bad things got.",ED No.13,엑스트라11,클리어 엔딩 힘들어도 포기하지 않고 답을 찾는거야.,ED No.13,額外１１,通關結局。即使處境艱難，也不放棄繼續尋找。,,Translated
42,6,13,0,ED No.14,エクストラ１２,クリアエンド。世紀の映像を撮り、次の人に繋ぐ。,ED No.14,Extra12,Extra Clear: Recorded the footage of a lifetime for future generations.,ED No.14,엑스트라12,클리어 엔딩 대박 동영상 찍어 사람들에게 보여주는거야.,ED No.14,額外１２,通關結局。拍下世紀影像，留給後來的人。,,Translated
43,6,14,0,ED No.15,エクストラ１２,バッドエンド１。出口に頭からつっこみ、首を骨折して死亡。,ED No.15,Extra12,Wrong End 1: Flung headlong into exit; neck broken.,ED No.15,엑스트라12,배드 엔딩 1: 배드엔딩1. 출구에 머리를 들이 밀어 목뼈가 부러져 사망.,ED No.15,額外１２,壞結局１。頭部撞上出口，因頸部重傷而身亡。,,Translated
44,6,15,0,ED No.16,エクストラ１２,バッドエンド２。霊に舌と目を引き抜かれて死亡。,ED No.16,Extra12,Wrong End 2: Tongue and eyes removed by spirit.,ED No.16,엑스트라12,배드 엔딩 2: 배드엔딩2. 유령한테 혀과 눈이 뽑혀 사망.,ED No.16,額外１２,壞結局２。遭怨靈襲擊而身亡。,,Translated
45,6,16,0,ED No.17,エクストラ１２,バッドエンド３。霊に舌と内臓を引き抜かれて死亡。,ED No.17,Extra12,Wrong End 3: Tongue and entrails removed by spirit.,ED No.17,엑스트라12,배드 엔딩 3: 배드엔딩3. 유령한테 혀와 내장을 빼았겨 사망.,ED No.17,額外１２,壞結局３。遭怨靈襲擊而身亡。,,Translated
46,6,17,0,ED No.18,エクストラ１２,バッドエンド４。ヨシカズにハンマーで殴打され死亡。,ED No.18,Extra12,Wrong End 4: Struck with hammer by Yoshikazu.,ED No.18,엑스트라12,배드 엔딩 4: 배드엔딩4. 요시카즈의 망치에 구타당하여 사망.,ED No.18,額外１２,壞結局４。遭ヨシカズ以鐵鎚襲擊而身亡。,,Translated
47,6,18,1,ED No.19,エクストラ１３,クリアエンド。救世主のゲーム機に助けられる。,ED No.19,Extra13,Extra Clear: Saved by your savior's game console.,ED No.19,엑스트라13,클리어 엔딩 구세주의 게임기의 도움을 받는다.,ED No.19,額外１３,通關結局。受到救世主的遊戲機幫助。,,Translated
48,6,19,1,ED No.20,エクストラ１３,バッドエンド１。人魂たちの怒りを買い、襲われて死亡。,ED No.20,Extra13,Wrong End 1: Earned the ire of the spirits; attacked and killed.,ED No.20,엑스트라13,배드 엔딩 1: 혼령들을 화나게 하여 습격당해 사망.,ED No.20,額外１３,壞結局１。激怒人魂後遭到襲擊而身亡。,,Translated
49,6,20,1,ED No.21,エクストラ１４,クリアエンド。校舎を彷徨い続ける人殺し。,ED No.21,Extra14,Extra Clear: A murderer who prowls the school's halls.,ED No.21,엑스트라14,클리어 엔딩 계속하여 학교 건물을 떠도는 살인자.,ED No.21,額外１４,通關結局。在校舍中持續徘徊的殺人犯。,,Translated
50,6,21,1,ED No.22,エクストラ１５,クリアエンド。絶対に生き残ってくれという想い。,ED No.22,Extra15,Extra Clear: Determined to keep her alive.,ED No.22,엑스트라15,클리어 엔딩 꼭 살아남아 있어 달라는 소원.,ED No.22,額外１５,通關結局。希望她無論如何都能活下去。,,Translated
51,6,22,1,ED No.23,エクストラ１５,バッドエンド１。人魂たちの怒りを買い、襲われて死亡。,ED No.23,Extra15,Wrong End 1: He bought the wrath of the human souls and was attacked and died.,ED No.23,엑스트라15,배드 엔딩 1: 붉은 혼령에 포위당하여 쓰러지는 요시키.,ED No.23,額外１５,壞結局１。激怒人魂後遭到襲擊而身亡。,,Translated
52,6,23,1,ED No.24,エクストラ１５,バッドエンド２。人魂たちの怒りを買い、襲われて死亡。,ED No.24,Extra15,Wrong End 2: He bought the wrath of the human souls and was attacked and died.,ED No.24,엑스트라15,배드 엔딩 2: 붉은 혼령에 포위당하여 쓰러지는 요시키.,ED No.24,額外１５,壞結局２。激怒人魂後遭到襲擊而身亡。,,Translated
53,6,24,1,ED No.25,エクストラ１６,クリアエンド。間違いなく伝説の生存者と出会った。,ED No.25,Extra16,Extra Clear: Met that Legendary Survivor.,ED No.25,엑스트라16,클리어 엔딩 틀림없이 전설속의 생존자와 만났어.,ED No.25,額外１６,通關結局。毫無疑問地遇見了傳說中的生還者。,,Translated
