Chapter,ArrayIndex,ItemFlag,ItemGraphic,JP_Name,JP_Page1,JP_Page2,JP_Page3,EN_Name,EN_Page1,EN_Page2,EN_Page3,KO_Name,KO_Page1,KO_Page2,KO_Page3,TC_Name,TC_Page1,TC_Page2,TC_Page3,Notes,Status
cap2item,4,190,37,新聞,繭の持っていた古い新聞。「児童四名,連続誘拐・殺人事件」被害者の写真を,掲載。,Newspaper, An old newspaper clipping given by, Mayu. Contains a photograph of the, four kidnapping/murder victims.,신문 ,마유가 갖고 있던 낡은 신문. ,「아동 4명 연속 유괴･살해 사건」 ,피해자의 사진을 게재. ,報紙,繭持有的舊報紙。,刊登了「連續綁架殺害四名兒童」案受害者的照片。,,,Translated
cap2item,5,103,38,文化人形（頭）,すすけた古い文化人形の首。,,,Antique Doll (Head)," An old, stained head from an", antique Japanese festival doll., ,문화인형 (머리) ,때가 찌든 낡은 문화인형의 머리. , , ,文化人偶（頭）,一顆蒙塵的古老文化人偶頭部。,,,,Translated
cap2item,6,102,39,文化人形（体）,すすけた古い文化人形の体。,,,Antique Doll (Body)," An old, stained torso from an", antique Japanese festival doll., ,문화인형 (몸) ,때가 찌든 낡은 문화인형의 몸. , , ,文化人偶（身體）,一具蒙塵的古老文化人偶身體。,,,,Translated
cap2item,7,192,8,懺悔の心,首と胴の揃った文化人形にこもった,懺悔の心。,,Penitent Spirit, An antique festival doll bearing, the spirit of a man with a guilty, conscience.,참회의 마음 ,머리와 몸이 붙은 문화인형에 담긴 , , ,懺悔之心,頭身齊全的文化人偶中寄宿著一顆懺悔之心。,,,,Translated
cap3item,0,165,0,ボロの板切れ,見るからに脆そうな大きめの板切れ。,人が乗るには適さないように見える。,,Loose Board," A large, thin floorboard with an", unsettling amount of give. Seems, a bit sketchy to use.,낡은 널빤지 ,언뜻 보기에 약해보이는 커다란 널빤지. ,사람이 올라타기에는 적합하지 않아 보인다. , ,破爛的木板,一塊看來十分脆弱的大型木板，似乎不適合讓人踩在上面。,,,,Translated
cap3item,1,166,9,由香のお守り,由香の宝物。危険から身を守って,くれるという（？）お守り。,中等部で流行っているらしい。,Scented Beads, Yuka's charm of protection (?)., Seems to be all the rage these, days in the junior high.,유카의 부적 ,유카의 보물. 위험으로부터 ,몸을 지켜주는(?) 부적. ,중등부에서 유행인 모양이다. ,由香的護身符,由香的寶物。據說能保護持有者免受危險（？）。,似乎在中學部很流行。,,,Translated
cap3item,2,168,1,用途不明の鍵,茶色く錆びてぼろぼろの鍵。,ラベルのようなシールが貼ってあるが、,そこも酸化しており判別が出来ない。,Unknown Key, A rusty brown key. Has a label on," it, but oxidation has made it", completely illegible.,용도를 알 수 없는 열쇠 ,누렇게 녹이 슨 낡은 열쇠. ,라벨 같은 스티커가 붙어 있지만 ,색이 바래서 판별하기 어렵다. ,用途不明的鑰匙,一把鏽成褐色的破舊鑰匙。,貼紙也已氧化，完全無法辨認內容。,,,Translated
cap3item,3,167,7,鉄の釘抜き,本館２階の廊下で拾った、,錆びついた鉄の釘(くぎ)抜き。,,Nail Puller, Picked up in the 2F hallway. It's," a plain, rusted nail puller made", of iron.,철제 못뽑이 ,본관 2층 복도에서 주운 ,녹이 슨 철제 못뽑이. , ,鐵製拔釘器,在本館二樓走廊撿到的生鏽鐵製拔釘器。,,,,Translated
cap3item,4,169,18,ちいさな鍵,１のＡの教室の棚から取り出した、,金色の鍵。特殊な形をしている。,,Tiny Key, Found in a cabinet in classroom, 1-A. Has a golden sheen and a very, distinctive shape.,작은 열쇠 ,1-A 교실 수납장에서 꺼낸 금색 열쇠. ,특수한 모양새다. , ,小鑰匙,從一年A班教室櫃子裡取出的金色鑰匙。,形狀十分特殊。,,,Translated
cap3item,5,171,11,魔除けの靴,霊能師により聖水のふられた靴。,履いて手を繋げば、その場にいる,全員が霊力の保護を受ける。,Blessed Shoes, Shoes blessed with holy water., Grant protection to their wearer, and all who take his/her hands.,액막이 신발 ,영능사가 성수를 뿌린 신발. ,"이것을 신고 손을 잡으면, 그 자리에 있는 ",전원이 영력의 보호를 받게 된다. ,驅魔鞋,由靈能師灑過聖水的鞋。,穿上後只要彼此牽手，全員都會受到靈力保護。,,,Translated
cap3item,6,170,12,封印破りの水晶塊,中に不思議な光を宿した、,透明な水晶塊。,,Crystal of Unsealing, A translucent crystal that shines, with a mysterious light., ,봉인해제 수정괴 ,안에 불가사의한 빛이 깃든 ,투명한 수정괴. , ,破封印的水晶塊,一塊透明水晶，內部寄宿著不可思議的光芒。,,,,Translated
cap3item,7,225,0,ボロの板切れ,見るからに脆そうな大きめの板切れ。,人が乗るには適さないように見える。,,Loose Board," A large, thin floorboard with an", unsettling amount of give. Seems, a bit sketchy to use.,낡은 널빤지 ,언뜻 보기에 약해보이는 커다란 널빤지. ,사람이 올라타기에는 적합하지 않아 보인다. , ,破爛的木板,一塊看來十分脆弱的大型木板，似乎不適合讓人踩在上面。,,,,Translated
cap3item,8,228,13,miniＤＶテープ①,ラベルには、鬼碑忌　取材①,2005 11 19　と書いてある。,,Mini-DV Tape, The label reads:, Kibiki Research Data 1, 2005-11-19,mini DV 테이프① ,라벨에는 키비키 취재① ,2005 11 19 라고 적혀 있다. , ,鬼碑忌的採訪錄影帶①,標籤上寫著：鬼碑忌 採訪①,2005 11 19,,,Translated
cap4item,0,141,13,miniＤＶテープ①,ラベルには、鬼碑忌　取材①,2005 11 19　と書いてある。,,Mini-DV Tape, The label reads:, Kibiki Research Data 1, 2005-11-19,mini DV 테이프① ,라벨에는 키비키 취재① ,2005 11 19 라고 적혀 있다. , ,鬼碑忌的採訪錄影帶①,標籤上寫著：鬼碑忌 採訪①,2005 11 19,,,Translated
cap4item,1,139,15,世以子の携帯,用務員室前で拾った世以子の携帯電話。,メール作成中に落とされた様で、読む,気は無かったがつい読んでしまった。,Seiko's Cell Phone, Found in the hallway. Seems Seiko, was writing a text message to, Naomi when she dropped it.,세이코의 휴대전화 ,수위실 앞에서 주운 세이코의 휴대전화. ,문자를 적다가 떨어뜨린 모양이다. ,내용을 볼 생각은 없었지만 보고 말았다. ,世以子的手機,在校工室前撿到的手機。,似乎是世以子寫簡訊時掉的，忍不住看了內容。,,,Translated
cap4item,2,140,14,直美の携帯,普段教室で見慣れた、直美の携帯。,世以子といつもメールを交換して遊ん,でいたのが思い出される。,Naomi's Cell Phone, Naomi always used this to text, with Seiko during class. Seems, like such a distant memory now...,나오미의 휴대전화 ,"평소 교실에서 보던, 나오미의 휴대전화. ",언제나 세이코와 문자를 보내며 ,놀던 게 생각난다. ,直美的手機,平常在教室常見的手機。,想起直美總和世以子互傳簡訊玩鬧的情景。,,,Translated
cap4item,3,130,16,遺体の一部（男児）,小さな麻袋に入った『児童殺害事件』,被害者の遺体の一部。持ち主に返す事,が出来るのだろうか。,Ryou's Tongue, The severed tongue of one of the," Heavenly Host murder victims,", sealed in a small hemp bag.,유해의 일부 (남아) ,작은 마대 자루 안에 있는 ,『아동 살해 사건』 피해자의 일부. ,주인에게 돌려줄 수 있을까. ,部分遺體（男童）,小麻袋中裝著兒童命案受害者的部分遺體。,能還給原本的主人嗎？,,,Translated
cap4item,4,144,8,呪われた文化人形,児童殺害犯の遺品。犯人の亡骸を捜す,手掛かりになるかも知れない。,,Cursed Doll, A relic that once belonged to the, murderer. May prove invaluable in, finding his victims' remains.,저주받은 문화인형 ,아동 살해범의 유품. 범인의 유해를 찾는 ,단서가 될지도 모른다. , ,受詛咒的文化人偶,兒童命案兇手的遺物。,或許能成為尋找兇手遺骸的線索。,,,Translated
cap4item,5,138,17,用務員室の鍵,『用務員室』とラベルのついた、,血のように真っ赤な鍵。,,Custodian's Key," A blood-red key labeled,", ”Custodian's Closet.”, ,수위실 열쇠 ,『수위실』이란 라벨이 붙은 ,피처럼 새빨간 열쇠. , ,校工室的鑰匙,貼著「校工室」標籤的一把血紅色鑰匙。,,,,Translated
cap4item,6,131,16,遺体の一部（女児１）,小さな麻袋に入った、『児童殺害事件』,被害者の遺体の一部。持ち主に返す事,が出来るのだろうか。,Tokiko's Tongue, The severed tongue of one of the," Heavenly Host murder victims,", sealed in a small hemp bag.,유해의 일부 (여아1) ,작은 마대 자루 안에 있는 ,『아동 살해 사건』 피해자의 일부. ,주인에게 돌려줄 수 있을까. ,部分遺體（女童1）,小麻袋中裝著兒童命案受害者的部分遺體。,能還給原本的主人嗎？,,,Translated
cap4item,7,132,16,遺体の一部（女児２）,小さな麻袋に入った、『児童殺害事件』,被害者の遺体の一部。持ち主に返す事,が出来るのだろうか。,Yuki's Tongue, The severed tongue of one of the," Heavenly Host murder victims,", sealed in a small hemp bag.,유해의 일부 (여아2) ,작은 마대 자루 안에 있는 ,『아동 살해 사건』 피해자의 일부. ,주인에게 돌려줄 수 있을까. ,部分遺體（女童2）,小麻袋中裝著兒童命案受害者的部分遺體。,能還給原本的主人嗎？,,,Translated
cap4item,8,142,18,小さな鍵,床下から良樹が拾い上げた小さなキー。,時計のネジのような形をしている。,,Winder, A tiny key shaped like the winder, for a clock or music box., , 작은 열쇠,요시키가 바닥 아래에 있던 것을 주워 올린 ,작은 키. 시계의 나사 모양이다. , ,小鑰匙,良樹從地板下撿到的小鑰匙，形狀像是時鐘的發條旋鈕。,,,,Translated
cap4item,9,143,20,錆びたハンドル,プールの底に沈んでいた、,何かの機械のハンドル。排水の際に,排水口の中に流れ込んだようだ。,Rusted Valve Wheel, Found at the bottom of the pool., Probably got sucked in when the, water was drained.,녹슨 핸들 ,수영장 바닥에 잠겨 있던 ,어떤 기계의 핸들. 배수를 할 때 ,배수구 안으로 흘러들어 갔던 모양이다. ,生鏽把手,沉在泳池底的機械把手。,似乎排水時被沖進了排水口裡。,,,Translated
cap4item,10,223,19,水圧調整室の鍵,プールサイドで拾った鍵。,錆び付いて脆くなっており、,一度使うと折れてしまいそうだ…,Pump Room Key," Found near the pool. It's thin,", flimsy and rusted. Will probably, break after a single use.,수압조정실 열쇠 ,수영장에서 주운 열쇠. ,녹이 슬어서 한 번 쓰면 부러질 것 같다... , ,水壓調整室的鑰匙,在泳池邊撿到的鑰匙。,鏽蝕脆弱，似乎用一次就會折斷……,,,Translated
cap5item,0,200,21,大理石の彫像,悪魔のような造形の大理石の像。,雪に渡された。,,Marble Statue, A marble statue shaped like some, sort of demon. Given to you by, Yuki.,대리석 조각상 ,악마 같은 조형의 대리석 조각상. , 유키가 줬다., ,大理石雕像,一尊造型宛如惡魔的大理石雕像。,是雪交給我的。,,,Translated
cap5item,1,201,22,直美の学生証,直美の学生証。,中には「幸せのサチコさん」の,切れ端も挟まっている。,Naomi's Student ID, Naomi's student ID name tag. She, must have dropped it along the way, without even realizing it.,나오미의 학생증 ,나오미의 학생증. ,안에는 「행복을 부르는 사치코씨」 ,조각이 끼어 있다. ,直美的學生證,直美的學生證。,裡面還夾著「幸福的サチコ小姐」紙片的一角。,,,Translated
cap5item,2,80,24,七星の手帳,七星の取材用手帳。,可愛くデコってあるが、書いてある,ことは、結構怖い。,Naho's Notebook, Surprisingly cute. Stands in, stark contrast to the information, contained within.,나호의 수첩 ,나호의 취재용 수첩. ,귀엽게 장식되어 있지만 ,적혀 있는 내용은 매우 무섭다. ,七星的筆記,七星採訪用的筆記本。,外表裝飾得很可愛，內容卻相當可怕。,,,Translated
cap5item,3,203,28,赤子の像,たい児のような形状の像。霊物質が,付着しており、表面はヌメヌメして,いる。,Baby Statue, A statue shaped like an unborn, baby in the womb. Covered in a, thin film of ectoplasmic residue.,갓난아기 상 ,태아처럼 생긴 상. ,영물질이 부착되어 있어 ,표면이 매끈매끈하다. ,嬰兒像,形狀宛如胎兒的雕像。,表面附著靈物質，摸起來黏滑不堪。,,,Translated
cap5item,4,205,32,サチコの舌,校長の机から出てきたサチコの舌。,,,Sachiko's Tongue," Sachiko's tongue, enclosed in a", hemp bag. Extracted from a desk, drawer in the principal's office.,사치코의 혀 ,교장의 책상에서 나온 사치코의 혀. , , ,サチコ的舌頭,從校長的辦公桌裡找到的サチコ舌頭。,,,,Translated
cap5item,5,92,26,miniDVテープ②,鬼碑忌の取材テープその２。,カセットには血が付着している。,,Mini-DV Tape 2," Another Kibiki research tape,", spattered liberally with blood., ,mini DV 테이프② ,키비키의 취재 테이프 그 2번째. ,카세트에는 피가 묻어 있다. , ,鬼碑忌的採訪錄影帶②,鬼碑忌的第二卷採訪帶。,錄影帶上沾著血跡。,,,Translated
cap5item,6,116,30,黒猫のぬいぐるみ,ヨシヱがサチコの誕生日に贈った,黒猫のぬいぐるみ。,,Black Cat Plushie, A plushie purchased by Yoshie for, Sachiko's birthday. Literally, coming apart at the seams.,검은고양이 인형 ,요시에가 사치코에게 생일 선물로 준 ,검은고양이 인형. , ,黑貓玩偶,芳惠在幸子生日時送給她的黑貓布偶。,,,,Translated
cap5item,7,57,23,由香の靴,由香の上履き。表面には血が付着,している。,,Yuka's Shoes, Spattered with blood all along, their edges..., ,유카의 신발 ,유카의 실내화. ,표면에는 피가 묻어 있다. , ,由香的鞋子,由香的室內鞋。,鞋面上沾著血跡。,,,Translated
cap5item,8,175,10,玄関の鍵,別館玄関の扉を開ける鍵。,何者かが鍵をかけ、この鍵を,隠したようだ。,Building Key, The key to the only exit from the, second wing. Someone must've hidden, this after locking the door.,현관 열쇠 ,별관 현관문을 열 수 있는 열쇠. ,누군가가 문을 잠그고 ,이 열쇠를 숨긴 모양이다. ,玄關的鑰匙,能打開別館玄關門。,似乎有人鎖門後，又把鑰匙藏了起來。,,,Translated
cap5item,9,204,31,校長室の鍵,ストラップのついた小さな鍵。天神小,校長の飛び降り死体から転げ出たもの。,,Principal's Key, A key attached to a gourd-shaped, keychain. Found on the body of, Principal Takamine Yanagihori.,교장실 열쇠 ,스트랩이 달린 작은 열쇠. ,텐진초 교장이 추락한 사체에서 나온 것. , ,校長室的鑰匙,附有吊飾的小鑰匙。,從天神小學校長跳樓身亡的遺體旁滾出。,,,Translated
cap5item,10,219,27,miniDVテープ【罪】,ラベルに「罪」と書かれた、血塗れの,miniDVテープ。由香が棚から見つけた。,,Mini-DV ”Sin” Tape, Found on a shelf by Yuka. The," label just says, ”Sin.” Spattered", with copious amounts of blood.,mini DV 테이프【죄】 ,라벨에 「죄」라고 적힌 피투성이 테이프. ,수납장 안에 있던 것을 유카가 찾아냈다. , ,miniDV錄影帶【罪】,標籤寫著「罪」的血跡斑斑miniDV錄影帶。,由香從架上找到的。,,,Translated
cap5item,11,228,2,理科室の鍵,理科室の中で見つけた鍵。,刻命が持っていたはずだが……,,Lab Key, A key found in the science lab., Didn't Kizami have this last...?, ,과학실 열쇠 ,과학실 안에서 찾은 열쇠. ,키자미가 가지고 있었는데...... , ,理科室的鑰匙,在理科室裡找到的鑰匙。,本來應該由刻命拿著才對……,,,Translated
cap5item,12,198,25,森繁の携帯,血塗れになった森繁の携帯。,森繁最後の様子が動画として残って,いるのは、果たして偶然か？,Morishige's Cell Phone, Morishige's bloodied cell phone., How is it that his final moments, were recorded in video...?,모리시게의 휴대전화 ,피투성이가 된 모리시게의 휴대전화. ,모리시게의 최후가 영상으로 남겨진 건 ,정말 우연일까? ,森繁的手機,沾滿鮮血的森繁手機。,竟錄下了他最後的樣子，這真的只是巧合嗎？,,,Translated
capex1item,0,51,33,千早のポーチ,ピンク色の、千早のポーチ。,可愛い ねこの絵が描いてある。,,Chihaya's Pouch, Chihaya's adorable pink pouch., Decorated with a cute little kitty, cat and a short musical phrase.,치하야의 파우치 ,치하야의 핑크색 파우치. ,귀여운 고양이가 그려져 있다. , ,千早的化妝包,千早的粉紅色小包。,上面畫著一隻可愛的小貓。,,,Translated
capex1item,1,63,34,星型“PEACE”サングラス,上級者向け。,ドレッドヘアーにとても似合う。,,Superstar Sunglasses, For people with discriminating, taste. They go well with, dreadlocks.,"별모양 “PEACE"" 선글라스 ",상급자용. ,드레드 헤어에 매우 잘 어울린다. , ,星型太陽眼鏡,適合高手佩戴。,和雷鬼辮髮型十分相襯。,,,Translated
capex1item,2,68,35,エレガントな眼鏡,フレームの薄い、デザイン性に優れた,眼鏡。,これも上級者向け。,Distinguished Glasses, A thin frame and sophisticated," lines cap off these high quality,", high-end designer glasses.,고상한 안경 ,"프레임이 얇고, 디자인이 우수한 안경. ",이것도 상급자용. , ,優雅眼鏡,鏡框纖細、設計出眾的高級眼鏡。,這也適合高手佩戴。,,,Translated
capex1item,3,73,2,保健室の鍵,【保健室】と書かれたシールの上に,セロハンテープで補強された鍵。,赤い魂から奪い取った。,Infirmary Key, A small piece of paper taped onto," the head of this key reads,",” Infirmary.”,보건실 열쇠 ,【보건실】이라고 적힌 스티커 위에 ,셀로판 테이프를 붙인 열쇠. ,빨간 혼이 갖고 있던 것을 빼앗았다. ,保健室的鑰匙,貼著「保健室」的標籤，再用透明膠帶加固。,是從紅色靈魂手中奪來。,,,Translated
capex1item,4,77,36,ソフト帽,シルクリボンの巻かれた、イタリアン,スタイルの高級フェルトハット。,,Felt Hat, An expensive-looking Italian-style, felt hat decorated with a silk, ribbon.,소프트 모자 ,실크 리본이 달린 ,이탈리안 스타일의 고급 펠트 햇. , ,軟呢帽,纏著絲帶的義大利風高級軟呢帽。,,,,Translated
capex2item,0,245,40,携帯電話,森繁私物の携帯電話。,天神小で沢山撮った死体の写真が,詰まっている……。,Morishige's Cell Phone, Morishige's bloodied cell phone., How is it that his final moments, were recorded in video...?,휴대전화 ,모리시게의 휴대전화. ,텐진초에서 찍은 사체 사진이 ,잔뜩 들어 있다...... ,手機,森繁的私人手機。,裡面塞滿他在天神小學校拍下的遺體照片……,,,Translated
capex31item,0,220,0,ボロの板切れ,見るからに脆そうな、大きめの板切れ。,すこし欠けて短くなっている。,,Loose Board," A large, brittle-looking plank of wood.", Shorter now that a piece of it has broken off., ,허름한 널조각 ,보기만 해도 단단하지 않은 널조각. , , ,破爛的木板,一塊看來十分脆弱的大型木板。,缺了一角，變得較短。,,,Translated
capex31item,1,221,41,涼香の学生証,涼香の学生証。,証明写真でさえも,すごく可愛らしく撮れている。,Ryoka's Student ID, Ryoka's student ID., Even her picture looks, absolutely adorable.,료코의 학생증 ,료코의 학생증.  ,증면사진 마저도 ,너무나 귀엽게 나와 있습니다. ,涼香的學生證,涼香的學生證。,就連證件照也拍得十分可愛。,,,Translated
